uid	nickname	msg	msgurl	msg_id	msgtime	msgfrom	media	map_data	n_likes	n_forwards	n_favorites	n_comments	is_forward	forward_uid	forward_nickname	forward_daren	forward_verified	forward_vip	forward_msg	forward_msgurl	forward_msg_id	forward_msgtime	forward_msgfrom	forward_media	forward_map_data	forward_n_likes	forward_n_forwards	forward_n_favorites	forward_n_comments
1739412814	婧兮愚兮	来个萌的	http://weibo.com/1739412814/A8fwpxr6r	3619662937969011	1378478357	新浪微博	False		0	0	0	0	True	1644395354	冷笑话精选			微博會員	想太多的小狮子。「转」	http://weibo.com/1644395354/A8fiVCCTe	3619654579205960	1378476363	冷笑话精选	True		4	0	0	0
1739412814	婧兮愚兮	铁根 // @欧美二线品牌 : 最搞笑莫过于僵尸粉	http://weibo.com/1739412814/A8bBulrIn	3619512325111427	1378442449	iPad客户端	False		0	0	0	0	True	1563926367	天才小熊猫		新浪個人認證	微博會員	刚才大家在群里说自己收到的一些奇葩私信，笑得不行了...	http://weibo.com/1563926367/A7VPD18Un	3618906050272575	1378297902	新浪微博	True		1	0	0	0
1739412814	婧兮愚兮	命中红心好么！ // @欧美二线品牌 : 只要把钱交出来，一切好说，实在不行帮他买及打扮嘛。// @纯洁大天使 : 土鳖的原因只是因为长得丑 // @纯洁大天使 : 默默参照……// @Nova_reborn : // @CBlocks : 我有好几件格子衬衫，还有一个小挎包。。。// @S胖纸要	http://weibo.com/1739412814/A8bAsuFKe	3619511687310310	1378442296	iPad客户端	False		0	0	0	0	True	2309846073	清华南都			微博會員	总结男生各种致命土鳖穿着！！配齐一套去泡妞吧亲！！	http://weibo.com/2309846073/A84NZzL3L	3619250998522381	1378380141	云中小鸟	True		1	0	0	0
1739412814	婧兮愚兮	回复 @brss之王者归莱 :血泪史 // @brss之王者归莱 :为了个学妹妹，我们容易嘛？！！！	http://weibo.com/1739412814/A85KjwNZW	3619287157818692	1378388764	iPad客户端	False		0	0	0	0	True	1739412814	婧兮愚兮	微博達人			寝室被学校强势插入。老子扔的东西可绕寝室三周。那火红的满满一麻袋衣服也只好滚蛋。 仁至义尽。	http://weibo.com/1739412814/A85BZkF3g	3619281994924366	1378387533	iPad客户端	True		0	0	0	0
1739412814	婧兮愚兮	加一句，扔垃圾走了六趟！	http://weibo.com/1739412814/A85DtuvEb	3619282917271495	1378387753	iPad客户端	False		0	0	0	0	True	1739412814	婧兮愚兮	微博達人			寝室被学校强势插入。老子扔的东西可绕寝室三周。那火红的满满一麻袋衣服也只好滚蛋。 仁至义尽。	http://weibo.com/1739412814/A85BZkF3g	3619281994924366	1378387533	iPad客户端	True		0	0	0	0
1739412814	婧兮愚兮	寝室被学校强势插入。老子扔的东西可绕寝室三周。那火红的满满一麻袋衣服也只好滚蛋。 仁至义尽。	http://weibo.com/1739412814/A85BZkF3g	3619281994924366	1378387533	iPad客户端	True		0	0	0	0																	
1739412814	婧兮愚兮	···// @猫扑 : 作业把孩子逼成啥样了	http://weibo.com/1739412814/A7Vgax7pz	3618884067893317	1378292659	新浪微博	False		0	0	0	0	True	1649666132	56网				#5言6语# 卧槽！！实拍小学生校车上抢暑假作业！！卧槽卧槽！！过去的抄作业弱爆了！现在都明目张胆开抢了！！全程高能字幕解说，笑尿了！！那时候的我们也是这样，在假期结束之前才想起还有很多作业没有做完，可惜的是，我们连大雄都没有~哈哈 http://t.cn/z8IVmOz	http://weibo.com/1649666132/A7TQHmPHX	3618829835441985	1378279730	专业版微博	True		2	0	0	0
1739412814	婧兮愚兮	都好美 // @欧美二线品牌 : 配色都很喜欢 // @兔桃 : @个体户的刘秀秀	http://weibo.com/1739412814/A7D4BzW0B	3618184978564469	1378125984	iPad客户端	False		0	0	0	0	True	1852493887	故宫淘宝				手串 | 清代宫廷女性较为喜爱的饰物之一，既可以戴于手腕、把玩于掌间，也可悬挂于衣襟之上，这种手串多用十八颗圆珠串联而成，故称“十八子手串”，亦称念珠。材质有翡翠 碧玺 珊瑚 蜜蜡 玛瑙 水晶 宝石等。	http://weibo.com/1852493887/A7BBe6aDX	3618128321470885	1378112476	新浪微博	True		4	0	0	0
1739412814	婧兮愚兮	555，支持小苍姐姐。就是没说错，言论自由不用道歉！	http://weibo.com/1739412814/A7ComE7oQ	3618158789561568	1378119739	iPad客户端	False		0	0	0	0	True	2850616155	小苍cany		新浪個人認證		今天我失态了，对不起。容我说2句。。。 http://t.cn/z8tI5Bh	http://weibo.com/2850616155/A7vd4enLo	3617882703427942	1378053917	新浪长微博	True		1	0	0	0
1739412814	婧兮愚兮	好久没关注比赛了，突然看到这个消息好桑心 下个赛季去现场支持，我们会回来的！	http://weibo.com/1739412814/A7Cn87dWN	3618158021721913	1378119557	iPad客户端	False		0	0	0	0	True	1869429662	WE俱乐部官方微博				WE.GIGABYTE.Misaya发表日志《感谢大家》 日志地址： http://t.cn/z8tmNJL cc @WE_Misaya若风	http://weibo.com/1869429662/A7xQuF9Ur	3617984029809543	1378078073	专业版微博	True		1	0	0	0
